pipeline_id,source_group,sweep_id,msg_len_bytes,network_delay_ms,packet_loss_pct,cpu_stress_level,N_RAW,P_NOISE,QBER_MAX,SAMPLE_FRAC,LINDBLAD_STEPS,LINDBLAD_TAU,LINDBLAD_GAMMA,success_rate,effective_total_ms_p50,effective_total_ms_p95,wall_clock_total_ms_p50,wall_clock_total_ms_p95,throughput_bytes_per_sec_p50,throughput_bits_per_sec_p50,qber_p50,entropy_score,randomness_score,avalanche_score,leakage_score,attack_score,robustness_score,security_score,latency_ms,throughput_bps,condition_group_id,latency_score_norm,throughput_score_norm,security_score_norm,robustness_score_norm,decision_profile,feasible,oracle_utility
P1_PQC_MLDSA,main_pipeline,focused,4096,30.0,1.0,0,1024,0.0,0.08,0.1,0,0.01,0.15,1.0,1733.996123,1746.5996249,1523.996123,1536.5996249,2362.173678285669,18897.389426285357,,0.8814290604625935,0.75,0.9908854166666669,0.030233191803516,0.8,0.9907407407407408,0.6970737530133887,1733.996123,18897.389426285357,1153cde19827680f,0.7525223539569751,0.7542799558208839,0.6970737530133887,1.0,BALANCED,True,0.7828745131149111
P4_HYBRID_QKD_LINDBLAD,main_pipeline,focused,4096,30.0,1.0,0,1024,0.0,0.08,0.1,0,0.01,0.15,0.6666666666666666,1896.52657,1919.09875,1686.52657,1709.09875,2131.5495261291157,17052.396209032922,0.0,0.8808829749407642,0.75,0.977611400462963,0.0394845917860586,0.8,0.9551282051282052,0.6950157824182576,1896.52657,17052.396209032922,1153cde19827680f,0.0,0.0,0.6950157824182576,0.6666666666666666,BALANCED,True,0.37658885717972346
P3_HYBRID_QKD,main_pipeline,focused,4096,30.0,1.0,0,1024,0.0,0.08,0.1,0,0.01,0.15,1.0,1680.545681,1770.7698701,1470.545681,1560.7698701,2437.303577230163,19498.428617841302,0.0,0.8830583547843085,0.75,0.994429976851852,0.0453141051932273,0.8,0.9716312056737588,0.7000734665461884,1680.545681,19498.428617841302,1153cde19827680f,1.0,1.0,0.7000734665461884,1.0,SECURE,True,0.8200440799277131
P1_PQC_MLDSA,main_pipeline,focused,4096,30.0,1.0,0,1024,0.0,0.08,0.1,0,0.01,0.15,1.0,1733.996123,1746.5996249,1523.996123,1536.5996249,2362.173678285669,18897.389426285357,,0.8814290604625935,0.75,0.9908854166666669,0.030233191803516,0.8,0.9907407407407408,0.6970737530133887,1733.996123,18897.389426285357,1153cde19827680f,0.7525223539569751,0.7542799558208839,0.6970737530133887,1.0,SECURE,True,0.781210484994775
P2_PQC_MLDSA_LINDBLAD,main_pipeline,focused,4096,30.0,1.0,0,1024,0.0,0.08,0.1,0,0.01,0.15,1.0,1720.865305,1724.5272862000002,1510.865305,1514.5272862000002,2380.197908632948,19041.583269063583,,0.8866010676312208,0.5,0.994285300925926,0.0350957609189677,0.8,0.983739837398374,0.6619992061004064,1720.865305,19041.583269063583,1153cde19827680f,0.8133185570877061,0.8132300507824107,0.6619992061004064,1.0,SECURE,True,0.7691928819081351
P4_HYBRID_QKD_LINDBLAD,main_pipeline,focused,4096,30.0,1.0,0,1024,0.0,0.08,0.1,0,0.01,0.15,0.6666666666666666,1896.52657,1919.09875,1686.52657,1709.09875,2131.5495261291157,17052.396209032922,0.0,0.8808829749407642,0.75,0.977611400462963,0.0394845917860586,0.8,0.9551282051282052,0.6950157824182576,1896.52657,17052.396209032922,1153cde19827680f,0.0,0.0,0.6950157824182576,0.6666666666666666,SECURE,False,-9.41632386388238
P2_PQC_MLDSA_LINDBLAD,main_pipeline,focused,1024,60.0,0.0,1,1024,0.0,0.08,0.1,0,0.01,0.15,1.0,2036.229697,2406.937708,1616.229697,1986.937708,502.8902198551915,4023.121758841532,,0.8866010676312208,0.5,0.994285300925926,0.0350957609189677,0.8,0.983739837398374,0.6619992061004064,2036.229697,4023.121758841532,1483df6d73980ab4,1.0,1.0,0.6619992061004064,1.0,FAST,True,0.9661999206100407
P4_HYBRID_QKD_LINDBLAD,main_pipeline,focused,1024,60.0,0.0,1,1024,0.0,0.08,0.1,0,0.01,0.15,1.0,2085.878151,2448.5133168,1665.878151,2028.5133168,490.92033468449705,3927.362677475976,0.0,0.8808829749407642,0.75,0.977611400462963,0.0394845917860586,0.8,0.9551282051282052,0.6950157824182576,2085.878151,3927.362677475976,1483df6d73980ab4,0.8735194255348047,0.8527277560904594,0.6950157824182576,1.0,FAST,True,0.8704828135040603
P1_PQC_MLDSA,main_pipeline,focused,1024,60.0,0.0,1,1024,0.0,0.08,0.1,0,0.01,0.15,1.0,2424.761998,2523.1653268,2004.761998,2103.1653268,422.3094888672039,3378.475910937631,,0.8814290604625935,0.75,0.9908854166666669,0.030233191803516,0.8,0.9907407407407408,0.6970737530133887,2424.761998,3378.475910937631,1483df6d73980ab4,0.010205058373735976,0.00856984847888564,0.6970737530133887,1.0,FAST,True,0.2270341271026708
P3_HYBRID_QKD,main_pipeline,focused,1024,60.0,0.0,1,1024,0.0,0.08,0.1,0,0.01,0.15,1.0,2428.767873,2438.7163821,2008.767873,2018.7163821,421.6129550228121,3372.903640182497,0.0,0.8830583547843085,0.75,0.994429976851852,0.0453141051932273,0.8,0.9716312056737588,0.7000734665461884,2428.767873,3372.903640182497,1483df6d73980ab4,0.0,0.0,0.7000734665461884,1.0,FAST,True,0.22000734665461885
