condition_group_id,decision_profile,composition_id,primary_pipeline_id,composition_reward,best_alias_pipeline_id,msg_len_bytes,network_delay_ms,packet_loss_pct,cpu_stress_level,N_RAW,P_NOISE,QBER_MAX,SAMPLE_FRAC,LINDBLAD_STEPS,LINDBLAD_TAU,LINDBLAD_GAMMA,success_rate,security_score
07d8fd65ce198650,BALANCED,COMP_886f1301e178,P3_HYBRID_QKD,0.6653049133547901,A3_HYBRID_QKD,1024,0.0,0.0,0,1024,0.0,0.06,0.1,0,0.01,0.15,1.0,0.735370199040746
07d8fd65ce198650,BALANCED,COMP_b1ff25c404c3,P4_HYBRID_QKD_LINDBLAD,0.8932555238463902,A5_HYBRID_QKD_LINDBLAD,1024,0.0,0.0,0,1024,0.0,0.06,0.1,0,0.01,0.15,1.0,0.7372567479448764
07d8fd65ce198650,FAST,COMP_22280d79fc05,A8_HYBRID_QKD_LINDBLAD_NO_REPLAY,0.21996391223464257,A8_HYBRID_QKD_LINDBLAD_NO_REPLAY,1024,0.0,0.0,0,1024,0.0,0.06,0.1,0,0.01,0.15,1.0,0.6996391223464256
07d8fd65ce198650,FAST,COMP_70678793c70b,A4_HYBRID_QKD_AUTH,0.9485812681795339,A4_HYBRID_QKD_AUTH,1024,0.0,0.0,0,1024,0.0,0.06,0.1,0,0.01,0.15,1.0,0.7366106084071842
07d8fd65ce198650,FAST,COMP_7d6120b17b53,A6_FULL_HARDENED,0.8022181663664748,A6_FULL_HARDENED,1024,0.0,0.0,0,1024,0.0,0.06,0.1,0,0.01,0.15,1.0,0.7409950018312257
07d8fd65ce198650,FAST,COMP_886f1301e178,P3_HYBRID_QKD,0.5877429063133023,A3_HYBRID_QKD,1024,0.0,0.0,0,1024,0.0,0.06,0.1,0,0.01,0.15,1.0,0.735370199040746
07d8fd65ce198650,FAST,COMP_b1ff25c404c3,P4_HYBRID_QKD_LINDBLAD,0.9695015782418258,A5_HYBRID_QKD_LINDBLAD,1024,0.0,0.0,0,1024,0.0,0.06,0.1,0,0.01,0.15,1.0,0.7372567479448764
07d8fd65ce198650,SECURE,COMP_22280d79fc05,A8_HYBRID_QKD_LINDBLAD_NO_REPLAY,0.6697834734078554,A8_HYBRID_QKD_LINDBLAD_NO_REPLAY,1024,0.0,0.0,0,1024,0.0,0.06,0.1,0,0.01,0.15,1.0,0.6996391223464256
07d8fd65ce198650,SECURE,COMP_70678793c70b,A4_HYBRID_QKD_AUTH,0.8369346264506287,A4_HYBRID_QKD_AUTH,1024,0.0,0.0,0,1024,0.0,0.06,0.1,0,0.01,0.15,1.0,0.7366106084071842
07d8fd65ce198650,SECURE,COMP_7d6120b17b53,A6_FULL_HARDENED,0.8101348652729405,A6_FULL_HARDENED,1024,0.0,0.0,0,1024,0.0,0.06,0.1,0,0.01,0.15,1.0,0.7409950018312257
07d8fd65ce198650,SECURE,COMP_886f1301e178,P3_HYBRID_QKD,0.7589794805209648,A3_HYBRID_QKD,1024,0.0,0.0,0,1024,0.0,0.06,0.1,0,0.01,0.15,1.0,0.735370199040746
