condition_group_id,decision_profile,feature_security_priority,feature_latency_priority,feature_throughput_priority,feature_robustness_priority,msg_len_bytes,network_delay_ms,packet_loss_pct,cpu_stress_level,N_RAW,P_NOISE,QBER_MAX,SAMPLE_FRAC,LINDBLAD_STEPS,LINDBLAD_TAU,LINDBLAD_GAMMA,sweep_id,oracle_best_pipeline,oracle_best_utility,oracle_margin_to_second,oracle_best_security_score,oracle_best_latency_ms,oracle_best_throughput_bps,oracle_best_success_rate,split
c18f06d8698d4785,BALANCED,0.65,0.65,0.5,0.8,1024,0.0,0.0,0,4096,0.02,0.06,0.1,0,0.01,0.15,focused,P4_HYBRID_QKD_LINDBLAD,0.8932555238463902,0.44822981055522426,0.6950157824182576,1517.497286,5398.362208339396,1.0,train
c8412e9a9d3f68d8,BALANCED,0.65,0.65,0.5,0.8,1024,30.0,1.0,1,1024,0.0,0.08,0.1,0,0.01,0.15,focused,P1_PQC_MLDSA,0.893975813554686,0.12911464985211785,0.6970737530133887,1785.787554,4587.331780676079,1.0,train
cc78c77996ddf9b1,BALANCED,0.65,0.65,0.5,0.8,1024,60.0,1.0,1,1024,0.0,0.08,0.1,0,0.01,0.15,focused,P4_HYBRID_QKD_LINDBLAD,0.8932555238463902,0.35062890122805834,0.6950157824182576,2045.903563,4004.098799255085,1.0,train
d4993d86913198bf,BALANCED,0.65,0.65,0.5,0.8,128,0.0,0.0,1,1024,0.0,0.08,0.1,0,0.01,0.15,focused,P2_PQC_MLDSA_LINDBLAD,0.8816997221351421,0.07392978894563251,0.6619992061004064,1635.865865,625.9681933029393,1.0,train
dbadef5249ff0ea5,BALANCED,0.65,0.65,0.5,0.8,128,60.0,0.0,1,1024,0.0,0.08,0.1,0,0.01,0.15,focused,P1_PQC_MLDSA,0.893975813554686,0.09561220169973694,0.6970737530133887,2097.313772,488.24358742636434,1.0,train
e35798b7d3ec8d5e,BALANCED,0.65,0.65,0.5,0.8,128,0.0,1.0,1,1024,0.0,0.08,0.1,0,0.01,0.15,focused,P3_HYBRID_QKD,0.6433260857671663,0.07350045845048059,0.7000734665461884,1607.433736,637.0402568183999,1.0,train
e671302a7c25283b,BALANCED,0.65,0.65,0.5,0.8,128,30.0,0.0,1,1024,0.0,0.08,0.1,0,0.01,0.15,focused,P4_HYBRID_QKD_LINDBLAD,0.8932555238463902,0.04293127898497073,0.6950157824182576,1847.191832,554.3549848265028,1.0,train
ec3a5066400447f6,BALANCED,0.65,0.65,0.5,0.8,4096,60.0,1.0,0,1024,0.0,0.08,0.1,0,0.01,0.15,focused,P1_PQC_MLDSA,0.600490308715933,0.026312793384939415,0.6970737530133887,1974.293521,16597.32945048752,1.0,train
f38641f35f26e923,BALANCED,0.65,0.65,0.5,0.8,1024,0.0,0.0,0,4096,0.0,0.06,0.1,0,0.01,0.15,focused,P3_HYBRID_QKD,0.8950257132911659,0.45177018944477576,0.7000734665461884,1506.739649,5436.904780090512,1.0,train
fb0d4ab87127402d,BALANCED,0.65,0.65,0.5,0.8,128,60.0,1.0,0,1024,0.0,0.08,0.1,0,0.01,0.15,focused,P1_PQC_MLDSA,0.893975813554686,0.027418169574735085,0.6970737530133887,1909.21618,536.3457583938975,1.0,train
0b4f707926e27c34,BALANCED,0.65,0.65,0.5,0.8,1024,0.0,0.0,0,1024,0.0,0.08,0.1,8,0.01,0.15,focused,P2_PQC_MLDSA_LINDBLAD,0.8816997221351421,0.43844419828875203,0.6619992061004064,1490.407613,5496.482927586872,1.0,val
4e30fff09dc57e1a,BALANCED,0.65,0.65,0.5,0.8,1024,0.0,0.0,0,4096,0.04,0.06,0.1,0,0.01,0.15,focused,P4_HYBRID_QKD_LINDBLAD,0.8932555238463902,0.44822981055522426,0.6950157824182576,1503.925386,5447.078742242868,1.0,val
4fe994142f3a2656,BALANCED,0.65,0.65,0.5,0.8,4096,0.0,1.0,0,1024,0.0,0.08,0.1,0,0.01,0.15,focused,P3_HYBRID_QKD,0.8950257132911659,0.06793545509046384,0.7000734665461884,1498.145037,21872.381639108284,1.0,val
5b9e146d978788c9,BALANCED,0.65,0.65,0.5,0.8,4096,0.0,0.0,1,1024,0.0,0.08,0.1,0,0.01,0.15,focused,P1_PQC_MLDSA,0.893975813554686,0.31213922756652845,0.6970737530133887,1580.375237,20734.316276812177,1.0,val
5ef9d77c6d7eeba2,BALANCED,0.65,0.65,0.5,0.8,128,60.0,1.0,1,1024,0.0,0.08,0.1,0,0.01,0.15,focused,P1_PQC_MLDSA,0.893975813554686,0.06316062579805637,0.6970737530133887,2042.492592,501.3482075826301,1.0,val
747cc723fcf50c63,BALANCED,0.65,0.65,0.5,0.8,1024,60.0,0.0,0,1024,0.0,0.08,0.1,0,0.01,0.15,focused,P1_PQC_MLDSA,0.893975813554686,0.22278413863437596,0.6970737530133887,1889.261904,4336.084892547539,1.0,val
b0f6d1cb044c1bda,BALANCED,0.65,0.65,0.5,0.8,1024,0.0,0.0,0,1024,0.02,0.06,0.1,0,0.01,0.15,focused,P4_HYBRID_QKD_LINDBLAD,0.8932555238463902,0.44822981055522426,0.6950157824182576,1498.81925,5465.635699568177,1.0,val
1153cde19827680f,BALANCED,0.65,0.65,0.5,0.8,4096,30.0,1.0,0,1024,0.0,0.08,0.1,0,0.01,0.15,focused,P3_HYBRID_QKD,0.8950257132911659,0.09734591641235024,0.7000734665461884,1680.545681,19498.428617841302,1.0,test
1483df6d73980ab4,BALANCED,0.65,0.65,0.5,0.8,1024,60.0,0.0,1,1024,0.0,0.08,0.1,0,0.01,0.15,focused,P2_PQC_MLDSA_LINDBLAD,0.8816997221351421,0.04847920721474175,0.6619992061004064,2036.229697,4023.121758841532,1.0,test
379100535d12afec,BALANCED,0.65,0.65,0.5,0.8,1024,0.0,0.0,0,1024,0.04,0.08,0.1,0,0.01,0.15,focused,P3_HYBRID_QKD,0.8283590466244992,0.3851035227781091,0.7000734665461884,1512.622888,5415.758326142689,0.6666666666666666,test
55d33a568df973a5,BALANCED,0.65,0.65,0.5,0.8,128,30.0,0.0,0,1024,0.0,0.08,0.1,0,0.01,0.15,focused,P3_HYBRID_QKD,0.8950257132911659,0.03124470163972637,0.7000734665461884,1698.259937,602.9701211752721,1.0,test
a31cc1c3f8f01e7d,BALANCED,0.65,0.65,0.5,0.8,128,0.0,0.0,0,1024,0.0,0.08,0.1,0,0.01,0.15,focused,P4_HYBRID_QKD_LINDBLAD,0.8932555238463902,0.07720862946213813,0.6950157824182576,1490.157478,687.1756945946084,1.0,test
bf433a2e1187f50e,BALANCED,0.65,0.65,0.5,0.8,4096,30.0,0.0,1,1024,0.0,0.08,0.1,0,0.01,0.15,focused,P1_PQC_MLDSA,0.893975813554686,0.17608484933004376,0.6970737530133887,1834.661124,17860.519074257118,1.0,test
faca7fc347983534,BALANCED,0.65,0.65,0.5,0.8,1024,0.0,0.0,0,4096,0.04,0.08,0.1,0,0.01,0.15,focused,P3_HYBRID_QKD,0.8950257132911659,0.45177018944477576,0.7000734665461884,1518.059306,5396.363612160486,1.0,test
00cb862b5aa5bb7a,FAST,0.2,1.0,0.7,0.7,1024,0.0,0.0,0,4096,0.0,0.08,0.1,0,0.01,0.15,focused,P3_HYBRID_QKD,0.9700073466546189,0.7505057684127932,0.7000734665461884,1497.237892,5471.408413967658,1.0,train
033a15b88c5626ec,FAST,0.2,1.0,0.7,0.7,1024,0.0,0.0,0,1024,0.0,0.08,0.1,8,0.005,0.15,focused,P2_PQC_MLDSA_LINDBLAD,0.9661999206100407,0.746698342368215,0.6619992061004064,1635.193993,5009.803139608281,1.0,train
07d8fd65ce198650,FAST,0.2,1.0,0.7,0.7,1024,0.0,0.0,0,1024,0.0,0.06,0.1,0,0.01,0.15,focused,P4_HYBRID_QKD_LINDBLAD,0.9695015782418258,0.749494231587207,0.6950157824182576,1487.921385,5505.667223137599,1.0,train
1153cde19827680f,FAST,0.2,1.0,0.7,0.7,4096,30.0,1.0,0,1024,0.0,0.08,0.1,0,0.01,0.15,focused,P3_HYBRID_QKD,0.9700073466546189,0.14383620948985765,0.7000734665461884,1680.545681,19498.428617841302,1.0,train
1483df6d73980ab4,FAST,0.2,1.0,0.7,0.7,1024,60.0,0.0,1,1024,0.0,0.08,0.1,0,0.01,0.15,focused,P2_PQC_MLDSA_LINDBLAD,0.9661999206100407,0.09571710710598036,0.6619992061004064,2036.229697,4023.121758841532,1.0,train
1f09dabebfd3832e,FAST,0.2,1.0,0.7,0.7,1024,60.0,1.0,0,1024,0.0,0.08,0.1,0,0.01,0.15,focused,P1_PQC_MLDSA,0.8920395639120817,0.022812589654019222,0.6970737530133887,1936.153766,4231.068907778061,1.0,train
28000d1cd70332ba,FAST,0.2,1.0,0.7,0.7,4096,0.0,0.0,0,1024,0.0,0.08,0.1,0,0.01,0.15,focused,P3_HYBRID_QKD,0.9700073466546189,0.015952930002525956,0.7000734665461884,1500.280473,21841.249412835623,1.0,train
