pipeline_id,source_group,sweep_id,msg_len_bytes,network_delay_ms,packet_loss_pct,cpu_stress_level,N_RAW,P_NOISE,QBER_MAX,SAMPLE_FRAC,LINDBLAD_STEPS,LINDBLAD_TAU,LINDBLAD_GAMMA,success_rate,effective_total_ms_p50,effective_total_ms_p95,wall_clock_total_ms_p50,wall_clock_total_ms_p95,throughput_bytes_per_sec_p50,throughput_bits_per_sec_p50,qber_p50,entropy_score,randomness_score,avalanche_score,leakage_score,attack_score,robustness_score,security_score,latency_ms,throughput_bps,condition_group_id
A3_HYBRID_QKD,ablation_variant,focused,1024,0.0,0.0,0,4096,0.04,0.08,0.1,0,0.01,0.15,1.0,1652.311113,1673.0523185999998,1652.311113,1673.0523185999998,619.7380093515112,4957.90407481209,0.0483091787439613,0.8828339212842458,0.75,0.9952863470441596,0.0380911962404363,1.0,0.9743589743589745,0.7388376203437215,1652.311113,4957.90407481209,faca7fc347983534
A4_HYBRID_QKD_AUTH,ablation_variant,focused,128,0.0,0.0,0,1024,0.0,0.08,0.1,0,0.01,0.15,1.0,1576.404405,1596.5208891,1576.404405,1596.5208891,81.19743867373931,649.5795093899145,0.0,0.8818149834759933,0.75,0.9956385772792022,0.0297302685930743,1.0,0.9743589743589745,0.7369635348974424,1576.404405,649.5795093899145,a31cc1c3f8f01e7d
A4_HYBRID_QKD_AUTH,ablation_variant,focused,1024,0.0,0.0,0,1024,0.0,0.06,0.1,0,0.01,0.15,1.0,1582.820138,1637.8222457,1582.820138,1637.8222457,646.9465325945961,5175.572260756769,0.0,0.8818149834759933,0.75,0.9956385772792022,0.0297302685930743,1.0,0.9743589743589745,0.7369635348974424,1582.820138,5175.572260756769,07d8fd65ce198650
A4_HYBRID_QKD_AUTH,ablation_variant,focused,1024,0.0,0.0,0,1024,0.0,0.08,0.1,0,0.01,0.15,1.0,1553.419339,1583.5313077,1553.419339,1583.5313077,659.1909694256742,5273.527755405394,0.0,0.8818149834759933,0.75,0.9956385772792022,0.0297302685930743,1.0,0.9743589743589745,0.7369635348974424,1553.419339,5273.527755405394,6f6c8b45ec93f476
A4_HYBRID_QKD_AUTH,ablation_variant,focused,1024,0.0,0.0,0,1024,0.02,0.06,0.1,0,0.01,0.15,1.0,1561.789353,1645.4526591,1561.789353,1645.4526591,655.6582025822019,5245.265620657615,0.0192307692307692,0.8818149834759933,0.75,0.9956385772792022,0.0297302685930743,1.0,0.9743589743589745,0.7369635348974424,1561.789353,5245.265620657615,b0f6d1cb044c1bda
A4_HYBRID_QKD_AUTH,ablation_variant,focused,1024,0.0,0.0,0,1024,0.02,0.08,0.1,0,0.01,0.15,1.0,1647.10884,1659.4074021,1647.10884,1659.4074021,621.6954066010599,4973.563252808479,0.0,0.8818149834759933,0.75,0.9956385772792022,0.0297302685930743,1.0,0.9743589743589745,0.7369635348974424,1647.10884,4973.563252808479,90300ca6639ff1a4
A4_HYBRID_QKD_AUTH,ablation_variant,focused,1024,0.0,0.0,0,1024,0.04,0.06,0.1,0,0.01,0.15,0.6666666666666666,1590.30888,1592.9305017,1590.30888,1592.9305017,642.7228176886982,5141.782541509586,0.0188679245283018,0.8818149834759933,0.75,0.9956385772792022,0.0297302685930743,1.0,0.9743589743589745,0.7369635348974424,1590.30888,5141.782541509586,424163238a693cc9
A4_HYBRID_QKD_AUTH,ablation_variant,focused,1024,0.0,0.0,0,1024,0.04,0.08,0.1,0,0.01,0.15,1.0,1534.524876,1654.2706149,1534.524876,1654.2706149,667.3075269194919,5338.460215355935,0.0576923076923076,0.8818149834759933,0.75,0.9956385772792022,0.0297302685930743,1.0,0.9743589743589745,0.7369635348974424,1534.524876,5338.460215355935,379100535d12afec
A4_HYBRID_QKD_AUTH,ablation_variant,focused,1024,0.0,0.0,0,4096,0.0,0.06,0.1,0,0.01,0.15,1.0,1630.850376,1656.6103884,1630.850376,1656.6103884,627.8932850428457,5023.146280342766,0.0,0.8818149834759933,0.75,0.9956385772792022,0.0297302685930743,1.0,0.9743589743589745,0.7369635348974424,1630.850376,5023.146280342766,f38641f35f26e923
A4_HYBRID_QKD_AUTH,ablation_variant,focused,1024,0.0,0.0,0,4096,0.0,0.08,0.1,0,0.01,0.15,1.0,1564.326562,1687.3604931999998,1564.326562,1687.3604931999998,654.5947789129211,5236.758231303369,0.0,0.8818149834759933,0.75,0.9956385772792022,0.0297302685930743,1.0,0.9743589743589745,0.7369635348974424,1564.326562,5236.758231303369,00cb862b5aa5bb7a
